0.0375	0.00026333	0.075
0.1	0.048661	0.05
0.1375	0.0352	0.025
0.1625	0.053483	0.025
0.1875	0.075082	0.025
0.2125	0.10999	0.025
0.2375	0.12412	0.025
0.2625	0.14627	0.025
0.2875	0.17544	0.025
0.3125	0.224	0.025
0.3375	0.28273	0.025
0.3625	0.38745	0.025
0.3875	0.45881	0.025
0.4125	0.57477	0.025
0.4375	0.73292	0.025
0.4625	0.94253	0.025
0.4875	1.1905	0.025
0.5125	1.4884	0.025
0.5375	1.845	0.025
0.5625	2.0253	0.025
0.5875	2.0499	0.025
0.6125	1.8891	0.025
0.6375	1.6547	0.025
0.6625	1.3627	0.025
0.6875	1.1225	0.025
0.7125	0.91777	0.025
0.7375	0.78899	0.025
0.7625	0.7	0.025
0.7875	0.63503	0.025
0.8125	0.59462	0.025
0.8375	0.57124	0.025
0.8625	0.5433	0.025
0.8875	0.56315	0.025
0.9125	0.56177	0.025
0.9375	0.5617	0.025
0.9625	0.56297	0.025
0.9875	0.59526	0.025
1.0125	0.5956	0.025
1.0375	0.5974	0.025
1.0625	0.60407	0.025
1.0875	0.62512	0.025
1.1125	0.64892	0.025
1.1375	0.6637	0.025
1.1625	0.6171	0.025
1.1875	0.64812	0.025
1.2125	0.63113	0.025
1.2375	0.63566	0.025
1.2625	0.63605	0.025
1.2875	0.64685	0.025
1.3125	0.59699	0.025
1.3375	0.60127	0.025
1.3625	0.58217	0.025
1.3875	0.57918	0.025
1.4125	0.57894	0.025
1.4375	0.56097	0.025
1.4625	0.55071	0.025
1.4875	0.52798	0.025
1.5125	0.527	0.025
1.5375	0.48266	0.025
1.5625	0.5101	0.025
1.5875	0.46254	0.025
1.6125	0.45211	0.025
1.6375	0.44603	0.025
1.6625	0.41182	0.025
1.6875	0.40231	0.025
1.725	0.77824	0.05
1.775	0.74613	0.05
1.825	0.66552	0.05
1.875	0.60723	0.05
1.925	0.57055	0.05
1.975	0.52879	0.05
2.05	1.0647	0.1
2.15	0.92762	0.1
2.25	0.77615	0.1
2.35	0.58031	0.1
2.5	0.85322	0.2
2.7	0.41466	0.2
2.9	0.16308	0.2
3.0875	0.021904	0.175
3.3375	0	0.325
